origin_airport,destination_airport,distance_km,is_less_than_200_km
LLA,PVS,727.0417681953359,False
LLA,MCG,715.4857509344256,False
LLA,TLL,683.6767256776013,False
LLA,VBY,878.3185627120531,False
LLA,AAL,942.6767104488906,False
LLA,MMX,1116.9593871584989,False
LLA,BFS,1215.6142900584173,False
LLA,BLK,1315.5299552490276,False
LLA,MAN,1362.627270930864,False
LLA,IEG,1516.379588717387,False
LLA,LCJ,1539.7055329710429,False
LLA,PAD,1552.508327331939,False
LLA,OST,1601.5820330370088,False
LLA,DRS,1605.7593378696042,False
LLA,YBH,1746.6704213246871,False
LLA,YQN,1750.6349383732081,False
LLA,BTS,1935.1379903187305,False
LLA,FDH,1991.2177615257622,False
LLA,BSL,2000.367311870839,False
LLA,BGY,2213.2974786711125,False
LLA,YSC,2260.5681538480617,False
LLA,PSA,2434.845856475532,False
LLA,BIQ,2460.718073805259,False
LLA,INI,2472.2681866584294,False
LLA,SCQ,2521.5942905375528,False
LLA,VLL,2654.9914048346773,False
LLA,FSC,2676.491584144361,False
LLA,KRW,2844.1246267238416,False
LLA,TPS,3074.98467541968,False
LLA,PDL,3092.8379758227056,False
LLA,RHO,3242.1887611455804,False
LLA,CHQ,3338.56931506624,False
LLA,AGO,3622.1323329599286,False
LLA,BQK,3833.9009028251776,False
LLA,SOK,3971.0718985233802,False
LLA,CLC,4034.564602383017,False
LLA,SPC,4104.219490107586,False
LLA,UDR,4564.023825868995,False
LLA,SNJ,4850.849506047469,False
LLA,BBR,5508.341205729559,False
LLA,AHE,5756.439019215047,False
LLA,HUU,6196.447343918536,False
LLA,JIM,6427.067205051506,False
LLA,AIH,6525.191607443606,False
LLA,KSB,6642.454502329567,False
LLA,TYL,6783.031873494429,False
LLA,NDE,6838.798853311746,False
PVS,LLA,727.0417681953359,False
PVS,MCG,178.2662977823488,True
PVS,TLL,950.5357568241333,False
PVS,VBY,1105.5561453066834,False
PVS,AAL,1184.357724229353,False
PVS,MMX,1323.9586232616891,False
PVS,BFS,1422.6837738426293,False
PVS,BLK,1523.364132373531,False
PVS,MAN,1567.7033790387545,False
PVS,IEG,1654.9324058892532,False
PVS,LCJ,1655.7576481426865,False
PVS,PAD,1701.664981220686,False
PVS,OST,1774.1765876675154,False
PVS,DRS,1743.9067532552792,False
PVS,YBH,1522.3288094856412,False
PVS,YQN,1654.6764554180818,False
PVS,BTS,2028.1971968767386,False
PVS,FDH,2097.4613710435765,False
PVS,BSL,2114.672301992478,False
PVS,BGY,2304.7200128620866,False
PVS,YSC,2205.3085708777053,False
PVS,PSA,2526.985536738138,False
PVS,BIQ,2570.913983021362,False
PVS,INI,2533.8143886131397,False
PVS,SCQ,2601.500667263408,False
PVS,VLL,2743.141999888826,False
PVS,FSC,2746.3376819971077,False
PVS,KRW,2818.585212953732,False
PVS,TPS,3132.731891562787,False
PVS,PDL,3117.9846080040165,False
PVS,RHO,3254.1120481249914,False
PVS,CHQ,3361.7157064050193,False
PVS,AGO,3503.7621656894385,False
PVS,BQK,3740.1513315980515,False
PVS,SOK,3967.8035442674422,False
PVS,CLC,3909.310734017063,False
PVS,SPC,4119.7789741040315,False
PVS,UDR,4478.038474633058,False
PVS,SNJ,4744.776911184954,False
PVS,BBR,5439.813738304853,False
PVS,AHE,5550.238821113914,False
PVS,HUU,6097.484307327269,False
PVS,JIM,6385.80681317183,False
PVS,AIH,6335.540790456545,False
PVS,KSB,6439.503082210718,False
PVS,TYL,6680.140164690625,False
PVS,NDE,6792.378896477176,False
MCG,LLA,715.4857509344256,False
MCG,PVS,178.2662977823488,True
MCG,TLL,807.6606695516355,False
MCG,VBY,949.5554470153346,False
MCG,AAL,1027.6401122468476,False
MCG,MMX,1159.9747511561782,False
MCG,BFS,1257.0548353740057,False
MCG,BLK,1356.445895340522,False
MCG,MAN,1400.0222658198054,False
MCG,IEG,1481.5477192479586,False
